,City,Country,Lat,Lng,Hotel Name
370,Carballo,ES,43.21,-8.69,Hotel Pensua Punta Del Este
371,Fort Frances,CA,48.6,-93.4,"Cantilever Hotel, Trademark Collection by Wyndham"
372,Santa Ana,US,33.75,-117.87,Hyatt Regency Orange County
373,Shingū,JP,33.73,135.98,Hotel New Palace
374,Dunedin,NZ,-45.87,170.5,Hotel Saint Clair
375,Ventspils,LV,57.39,21.56,Villa Leonardo
376,Dullewala,PK,31.84,71.44,Alamdar Hotel
377,Samarai,PG,-10.62,150.67,Nuli Sapi
378,Redcar,GB,54.62,-1.06,The Park Hotel
379,Karuzi Province,BI,-3.12,30.13,
380,Kwang Binh,VN,17.48,106.6,Nam Long Plus
381,Nyimba,ZM,-14.56,30.81,Thula Lodge
382,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,Hotel Arsenev
383,Darhan,MN,49.49,105.92,Buudai Hotel
384,Isabela,PH,6.71,121.97,Sophia Hotel
385,Carlsbad,US,33.16,-117.35,Carlsbad Suites
386,Yenagoa,NG,4.92,6.26,Amba Hotels Limited
387,Fairbanks,US,64.84,-147.72,SpringHill Suites by Marriott Fairbanks
388,Chālūs,IR,36.66,51.42,Hotel khakhamiran
389,Kyabé,TD,9.45,18.94,
390,Mizque,BO,-17.94,-65.34,Hotel Victoria
391,Atbasar,KZ,51.8,68.33,"The Ritz-Carlton, Astana"
392,Glenwood Springs,US,39.55,-107.32,Glenwood Hot Springs Lodge
393,Banjar,ID,-8.19,114.97,The Hamsa Resort
394,Manoel Urbano,BR,-8.84,-69.26,Baixada Beira Rio
395,Lüderitz,,-26.65,15.16,LÜDERITZ NEST HOTEL
396,Bowen,AU,-20.02,148.23,Coral Cove Apartments
397,Poconé,BR,-16.26,-56.62,Hotel Chalana
398,Mayo,US,38.89,-76.51,
399,Ocampo,MX,21.65,-101.5,HOTEL OCAMPO
400,Rancho Palos Verdes,US,33.74,-118.39,Terranea Resort
401,Arrondissement de Dieppe,FR,49.75,1.17,Reve de Bisons
402,Humberto de Campos,BR,-2.6,-43.46,Pousada do Cabeça
403,May Pen,JM,17.96,-77.25,Hotel Versalles
404,Harper,LR,4.38,-7.72,Grands' Guesthouse
405,Jiwani,PK,25.05,61.74,Victoria Hut
406,Mae Hong Son,TH,19.3,97.97,Imperial Mae Hong Son Hotel
407,Tessalit,ML,20.2,1.01,
408,Severo-Kuril'sk,RU,50.68,156.12,Kak Doma
409,Kahului,US,20.89,-156.47,Maui Beach Hotel
410,Kloulklubed,PW,7.04,134.26,The Adventures Inn-Peleliu
411,São Geraldo do Araguaia,BR,-6.4,-48.55,Hotel Rio Araguaia
412,Middletown,US,39.52,-84.4,Indigo Pass Hotel
413,Timrå,SE,62.49,17.33,Wifstavarfs Herrgård
414,Pechenga,RU,69.53,31.17,
415,Kangaatsiaq,GL,68.31,-53.46,
416,Bereda,ES,43.27,-7.54,Pazo de Verdes
417,Along,IN,28.17,94.77,OYO 66194 Hotel Veggie Aman
418,Worland,US,44.02,-107.96,Comfort Inn Worland Hwy 16 To Yellowstone
419,Camacha,PT,33.08,-16.33,Hotel Porto Santo & Spa
420,Port Moresby,PG,-9.44,147.18,Hilton Port Moresby
421,Laguna,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
422,Morehead,US,37.27,-87.18,CCI Express Inn
423,Hambantota,LK,6.12,81.12,Jade Green Hotel Hambantota
424,Lakshmīpur,BD,22.95,90.83,Unique hotel
425,Vila Franca do Campo,PT,37.72,-25.43,Pestana Bahia Praia
426,Nova Olímpia,BR,-14.8,-57.29,Hotel Pantanal
427,Jacareacanga,BR,-6.22,-57.75,HOTEL VIANA
428,Naica,MX,27.85,-105.48,
429,Mahon,ES,39.89,4.27,Síndic Hotel
430,Omboué,GA,-1.57,9.26,Hôtel Georges Faustin Aurat
431,Santa Isabel Rio Negro,BR,-0.41,-65.02,Hotel Ayuana
432,Aksu,CN,41.12,80.26,Pudong Holiday Hotel
433,Krasnovishersk,RU,60.41,57.08,For you
434,Priamurskiy,RU,48.52,134.9,
435,Jardim,BR,-21.48,-56.14,Vitória Hotel
436,Kyakhta,RU,50.35,106.45,Druzhba
437,Haines Junction,CA,60.75,-137.51,Kluane Green Sprout
438,Kargil,IN,34.57,76.1,The Highland Mountain Resort & Spa
439,Kamenka,RU,51.32,42.77,
440,Kenitra,MA,34.26,-6.58,Hotel Vitality Terminus
441,Hokitika,NZ,-42.72,170.97,Beachfront Hotel Hokitika
442,Beeville,US,28.4,-97.75,Holiday Inn Express & Suites Beeville
443,Perth,AU,-31.93,115.83,Quay Perth
444,Yashkul',RU,46.17,45.34,
445,Oriximiná,BR,-1.77,-55.87,Castanheira Hotel
446,Livingston,GB,55.9,-3.52,Macdonald Houstoun House
